"board","goal","textgoal","","toolbox","defines","globals","syntax","animationScales","fade"
"['function addTwo(number){ return _;}', 'number', '_(_)', '_(_)']","['7']","Define a function to add 2 to a number.","","['__unlimited; addOne', 'addTwo', '3', '4', '5', '6']","","{}","[]","{}","{}"
"['function threeTimes(func, number){ return _(_(_(_)));}', 'number']","['18']","Define a function to use a function 3 times in a row.","","['__unlimited; addThree', '__unlimited; func', 'threeTimes', '3', '4', '5', '9', '10']","","{}","[]","{}","{}"
"['function twice(func, number){ return _;}', 'number', '_(_)', '_(_)']","['16']","Define a function to use a function 2 times in a row.","","['__unlimited; addThree', '__unlimited; func', 'twice', '3', '4', '5', '6', '10']","","{}","[]","{}","{}"
"['__unlimited; _(_)', 'twice(addOne)']","['7']","Use the apply block to generate the goal!","This is 86... Problem with scalling, arrow a reconfusing; everything is unfolded with is confusing; ALso about addOne having a hole is also very confusing; Lasy unfolding; Alpha renaming","['3', '4', '5', '6']","","{'twice': 'function twice(f) { return (x) => f(f(x)); }'}","[]","{}","{}"
"['__unlimited; _(_)', 'twice(_)']","['7']","","","['addOne', 'addThree', '1', '5', '9']","","{'twice': 'function twice(f) { return (x) => f(f(x)); }'}","[]","{}","{}"
"['twice','y', 'function addTwo(y) { return _; }', '__tests(testMe(3), testMe(7), testMe(11))']","['5', '9', '13']","Use twice to define a function that computes x plus 2","","['__unlimited; _(_)', 'addTwo', 'addOne']","['function addTwo(x) { return (twice(addOne))(x); }']","{'twice': 'function twice(f) { return (x) => f(f(x)); }'}","[]","{}","{}"
"['twice','z', 'function addFour(z) { return _; }', '__tests(testMe(1), testMe(testMe(5)))']","['5', '13']","Define a function that computes x plus 4","89: can we move directly to the left side when we define something.lasy expension of known terms","['__unlimited; _(_)','addFour', 'addTwo']","['function addFour(x) { return (twice(addTwo))(x); }', 'function repeat(n, f) { return (x) => n == 0 ? x : repeat(n - 1, f)(f(x)); }']","{'twice': 'function twice(f) { return (x) => f(f(x)); }'}","[]","{}","{}"
"['repeat(2, addOne)']","['5']","The repeat function let you use the same function many time!","90: a little bit too much because we have recursion and if in one level... Nice tail recusion... or use big steps","['__unlimited; _(_)', '1', '2', '3', '4']","","{'twice': 'function twice(f) { return (x) => f(f(x)); }'}","[]","{}","{}"
"['repeat(_, addOne)',]","['11']","","","['__unlimited; _(_)', '3', '4', '5', '6']","","{'twice': 'function twice(f) { return (x) => f(f(x)); }'}","[]","{}","{}"
"['repeat(3, _)',]","['8']","","","['__unlimited; _(_)', 'doNothing', 'addOne', 'addTwo', '0', '1', '2']","","{'twice': 'function twice(f) { return (x) => f(f(x)); }'}","[]","{}","{}"
"['repeat(_, _)', 'x', 'function addSix(x) { return _; }', '__tests(testMe(5), testMe(9))']","['11', '15']","Define a function that computes x plus 6","","['__unlimited; _(_)', 'addSix', 'addThree', 'addTwo', '1', '3', '5']","['function addSix(x) { return (repeat(3, addTwo))(x); }']","{'twice': 'function twice(f) { return (x) => f(f(x)); }'}","[]","{}","{}"
"['__tests(testMe(_), testMe(_))']","['9', '12']","","","['__unlimited; _(_)', 'addSix', '1', '2', '3', '4', '5', '6']","","{'twice': 'function twice(f) { return (x) => f(f(x)); }'}","[]","{}","{}"
"['function add(a, b) { return repeat(_,addOne)( _ ); }', '__tests(testMe(_, _), testMe(_, _), testMe(1, 2))', 'a', 'b']","['3', '8', '9']","Define a function that computes a plus b","102: addtogether why this name? Why do I have to add the argument to the tester.","['__unlimited; _(_)', 'add','2', '3', '5', '7']","['function add(a, b) { return repeat(a, addOne)(b); }']","{'twice': 'function twice(f) { return (x) => f(f(x)); }'}","[]","{}","{}"
"['function add(a, b) { return _; }', '__tests(testMe(_, _), testMe(_, _), testMe(1, 2))', 'repeat(_)', 'a', 'b', 'addOne']","['3', '8', '9']","Define a function that computes a plus b","102: addtogether why this name? Why do I have to add the argument to the tester.","['__unlimited; _(_)', 'add','2', '3', '5', '7']","['function add(a, b) { return repeat(a, addOne)(b); }']","{'twice': 'function twice(f) { return (x) => f(f(x)); }'}","[]","{}","{}"